"state_postal_abbr","data_year","officer_count","officer_rate_per_1000","civilian_count","civilian_rate_per_1000","population"
"ND",1982,859,1.27,165,0.24,675030
"ND",1983,979,1.43,253,0.37,685104
"ND",1984,988,1.43,248,0.36,691036
"ND",1985,990,1.43,281,0.41,690026
"ND",1986,956,1.40,266,0.39,683963
"ND",1987,959,1.41,274,0.40,680134
"ND",1988,950,1.42,294,0.44,670762
"ND",1989,951,1.42,299,0.45,667679
"ND",1990,954,1.48,298,0.46,646556
"ND",1991,1085,1.52,334,0.47,714470
"ND",1992,1179,1.56,367,0.49,756079
"ND",1993,1088,1.53,359,0.50,712671
"ND",1994,1064,1.50,366,0.52,707077
"ND",1995,1125,1.54,413,0.57,728949
"ND",1996,1226,1.56,409,0.52,786853
"ND",1997,1169,1.64,391,0.55,713191
"ND",1998,1162,1.67,382,0.55,696049
"ND",1999,1188,1.70,405,0.58,696916
"ND",2000,1193,1.70,417,0.59,702195
"ND",2001,1166,1.74,407,0.61,671376
"ND",2002,1169,1.77,444,0.67,661701
"ND",2003,1210,1.78,423,0.62,680318
"ND",2004,1291,1.81,459,0.64,712103
"ND",2005,1247,1.80,427,0.62,693523
"ND",2006,1226,1.85,443,0.67,663992
"ND",2007,1273,1.85,477,0.69,689399
"ND",2008,1288,1.86,461,0.66,693285
"ND",2009,1308,1.93,476,0.70,678241
"ND",2010,1407,1.98,514,0.72,711859
"ND",2011,1429,1.97,509,0.70,724806
"ND",2012,1489,2.04,524,0.72,728794
"ND",2013,1521,2.01,521,0.69,755121
"ND",2014,1656,2.10,574,0.73,788748
"ND",2015,1744,2.22,647,0.82,785675
"ND",2016,1821,2.31,703,0.89,788255
"ND",2017,1748,2.24,669,0.86,781178
"ND",2018,1776,2.25,701,0.89,788896
"ND",2019,1774,2.24,673,0.85,792216
"NE",1960,,,,,1414511
"NE",1961,,,,,1414511
"NE",1962,,,,,1487318
"NE",1963,,,,,1463374
"NE",1964,,,,,1483192
"NE",1965,,,,,1492639
"NE",1966,,,,,1502015
"NE",1967,,,,,1438433
"NE",1968,,,,,1440686
"NE",1969,,,,,1452686
"NE",1970,,,,,1487544
"NE",1971,1549,1.02,267,0.18,1512000
"NE",1972,2136,1.39,510,0.33,1537165
"NE",1973,2019,1.29,489,0.31,1560631
"NE",1974,2085,1.34,552,0.35,1559644
"NE",1975,2109,1.35,603,0.39,1563935
"NE",1976,2100,1.34,671,0.43,1570935
"NE",1977,2500,1.58,804,0.51,1578935
"NE",1978,2538,1.60,840,0.53,1582935
"NE",1979,2540,1.58,917,0.57,1603256
"NE",1980,2045,1.28,756,0.47,1592114
"NE",1981,2097,1.31,742,0.46,1604413
"NE",1982,2134,1.28,818,0.49,1661688
"NE",1983,2567,1.54,992,0.59,1671779
"NE",1984,2647,1.56,957,0.56,1698403
"NE",1985,2661,1.57,990,0.58,1699840
"NE",1986,2644,1.56,999,0.59,1690837
"NE",1987,2685,1.59,999,0.59,1684553
"NE",1988,2746,1.62,1047,0.62,1691578
"NE",1989,2806,1.65,1097,0.64,1700942
"NE",1990,2910,1.74,1072,0.64,1671699
"NE",1991,2953,1.75,1092,0.65,1687149
"NE",1992,2965,1.74,1067,0.63,1700891
"NE",1993,2984,1.75,1102,0.65,1701298
"NE",1994,3007,1.75,1169,0.68,1716368
"NE",1995,3098,1.78,1254,0.72,1743441
"NE",1996,3211,1.81,1170,0.66,1771604
"NE",1997,3330,1.81,1292,0.70,1840191
"NE",1998,3250,1.85,1243,0.71,1754330
"NE",1999,3268,1.85,1175,0.67,1762297
"NE",2000,3410,1.88,1314,0.72,1814703
"NE",2001,3557,1.89,1293,0.69,1877174
"NE",2002,3550,1.93,1313,0.71,1836942
"NE",2003,3637,1.93,1424,0.76,1885073
"NE",2004,3668,1.95,1448,0.77,1880911
"NE",2005,3661,1.94,1408,0.75,1884201
"NE",2006,3680,1.95,1434,0.76,1886231
"NE",2007,3551,1.91,1393,0.75,1861162
"NE",2008,3661,1.93,1368,0.72,1899024
"NE",2009,3822,1.96,1397,0.72,1949238
"NE",2010,3747,1.93,1389,0.72,1938201
"NE",2011,3805,1.98,1424,0.74,1925201
"NE",2012,3744,1.91,1461,0.75,1960884
"NE",2013,3766,1.90,1529,0.77,1984267
"NE",2014,4000,1.96,1583,0.77,2043332
"NE",2015,4038,1.98,1563,0.77,2039313
"NE",2016,3965,1.92,1598,0.77,2069704
"NE",2017,3472,1.66,1584,0.76,2087467
"NE",2018,3797,1.90,1601,0.80,1998902
"NE",2019,3819,1.88,1659,0.82,2031639
"NH",1960,,,,,606921
"NH",1961,,,,,606921
"NH",1962,,,,,632004
"NH",1963,,,,,626987
"NH",1964,,,,,654041
"NH",1965,,,,,644015
"NH",1966,,,,,681090
"NH",1967,,,,,686000
"NH",1968,,,,,702000
"NH",1969,,,,,717000
"NH",1970,,,,,737681
"NH",1971,741,0.97,41,0.05,762000
"NH",1972,1094,1.42,152,0.20,771000
"NH",1973,962,1.22,129,0.16,791000
"NH",1974,1045,1.29,157,0.19,808000
"NH",1975,1096,1.34,176,0.22,818000
"NH",1976,1118,1.36,212,0.26,822000
"NH",1977,1264,1.49,220,0.26,849000
"NH",1978,1316,1.32,269,0.27,995341
"NH",1979,1352,1.34,263,0.26,1005431
"NH",1980,1342,1.29,280,0.27,1041881
"NH",1981,1541,1.46,383,0.36,1052614
"NH",1982,1557,1.47,397,0.37,1062106
"NH",1983,1624,1.48,414,0.38,1096524
"NH",1984,1646,1.48,424,0.38,1112253
"NH",1985,1685,1.49,464,0.41,1134350
"NH",1986,1785,1.53,472,0.40,1167503
"NH",1987,1865,1.55,509,0.42,1199593
"NH",1988,1940,1.57,591,0.48,1239280
"NH",1989,1961,1.57,619,0.50,1249584
"NH",1990,1981,1.57,614,0.49,1257860
"NH",1991,1963,1.57,605,0.48,1250358
"NH",1992,1971,1.57,600,0.48,1257102
"NH",1993,1981,1.56,612,0.48,1268772
"NH",1994,2003,1.56,633,0.49,1282258
"NH",1995,2054,1.59,635,0.49,1294619
"NH",1996,2138,1.63,667,0.51,1310361
"NH",1997,2226,1.63,701,0.51,1366626
"NH",1998,2354,1.67,761,0.54,1407565
"NH",1999,2726,1.83,864,0.58,1486936
"NH",2000,2663,1.83,894,0.61,1457787
"NH",2001,3006,1.86,1003,0.62,1619148
"NH",2002,3244,1.85,1057,0.60,1756308
"NH",2003,2600,1.83,832,0.58,1422953
"NH",2004,2576,1.83,839,0.60,1409000
"NH",2005,2622,1.82,835,0.58,1440549
"NH",2006,2661,1.90,864,0.62,1397440
"NH",2007,2923,1.93,930,0.61,1518137
"NH",2008,2831,2.03,912,0.66,1391329
"NH",2009,2758,1.97,887,0.63,1400805
"NH",2010,2722,1.98,861,0.63,1377338
"NH",2011,2774,1.98,880,0.63,1397675
"NH",2012,2758,1.96,847,0.60,1408771
"NH",2013,2762,1.95,869,0.61,1416339
"NH",2014,2756,2.00,874,0.63,1380345
"NH",2015,2763,2.03,871,0.64,1360341
"NH",2016,2773,2.03,892,0.65,1366922
"NH",2017,2764,2.02,859,0.63,1370055
"NH",2018,2838,2.05,851,0.62,1382257
"NH",2019,2859,2.05,878,0.63,1394298
"NJ",1960,,,,,6049690
"NJ",1961,,,,,6085359
"NJ",1962,,,,,6267660
"NJ",1963,,,,,6522750
"NJ",1964,,,,,6739587
"NJ",1965,,,,,6798848
"NJ",1966,,,,,6953988
"NJ",1967,,,,,7073221
"NJ",1968,,,,,7132328
"NJ",1969,,,,,7213978
"NJ",1970,,,,,7202932
"NJ",1971,16040,2.19,1303,0.18,7334832
"NJ",1972,18535,2.50,2717,0.37,7402192
"NJ",1973,17965,2.44,2400,0.33,7377289
"NJ",1974,19035,2.59,2663,0.36,7347992
"NJ",1975,19281,2.63,2950,0.40,7331025
"NJ",1976,20294,2.76,3524,0.48,7351025
"NJ",1977,21095,2.87,3987,0.54,7350430
"NJ",1978,21441,2.92,4197,0.57,7349900
"NJ",1979,21316,2.90,4238,0.58,7337782
"NJ",1980,20648,2.81,4412,0.60,7343265
"NJ",1981,21028,2.84,3984,0.54,7404654
"NJ",1982,21268,2.86,4230,0.57,7441411
"NJ",1983,23652,3.17,5153,0.69,7471424
"NJ",1984,23872,3.18,5406,0.72,7518447
"NJ",1985,24716,3.27,5590,0.74,7568785
"NJ",1986,25281,3.31,5853,0.77,7634094
"NJ",1987,25945,3.38,6037,0.79,7686328
"NJ",1988,26685,3.45,6495,0.84,7734524
"NJ",1989,27079,3.49,6716,0.87,7751018
"NJ",1990,27536,3.55,6731,0.87,7760737
"NJ",1991,27348,3.51,6798,0.87,7793921
"NJ",1992,27402,3.50,6930,0.89,7823043
"NJ",1993,27526,3.48,6964,0.88,7913727
"NJ",1994,27792,3.50,7021,0.88,7945294
"NJ",1995,28026,3.51,7346,0.92,7989740
"NJ",1996,28429,3.54,7351,0.91,8037072
"NJ",1997,29553,3.65,7749,0.96,8102463
"NJ",1998,29875,3.66,7750,0.95,8159326
"NJ",1999,30379,3.71,8032,0.98,8188146
"NJ",2000,30718,3.63,8151,0.96,8461319
"NJ",2001,31069,3.64,8511,1.00,8531789
"NJ",2002,31026,3.59,8588,0.99,8638252
"NJ",2003,31765,3.66,8750,1.01,8688836
"NJ",2004,31761,3.63,9026,1.03,8750387
"NJ",2005,32330,3.69,9077,1.03,8770503
"NJ",2006,32129,3.66,8580,0.98,8774169
"NJ",2007,32911,3.77,9412,1.08,8734669
"NJ",2008,32460,3.72,9289,1.06,8726828
"NJ",2009,32585,3.72,9627,1.10,8761163
"NJ",2010,31553,3.56,9038,1.02,8852833
"NJ",2011,29734,3.35,8584,0.97,8878183
"NJ",2012,29485,3.30,9047,1.01,8925939
"NJ",2013,28958,3.23,8762,0.98,8974455
"NJ",2014,30386,3.38,9234,1.03,8995276
"NJ",2015,33529,3.72,10204,1.13,9014923
"NJ",2016,33882,3.76,10629,1.18,9005202
"NJ",2017,31341,3.46,9128,1.01,9066144
"NJ",2018,31819,3.55,9031,1.01,8968809
"NJ",2019,37844,4.23,11118,1.24,8941805
"NM",1960,,,,,982964
"NM",1961,,,,,982964
"NM",1962,,,,,1056682
"NM",1963,,,,,1058707
"NM",1964,,,,,1051606
"NM",1965,,,,,1101542
"NM",1966,,,,,1114546
"NM",1967,,,,,1050847
"NM",1968,,,,,1065278
"NM",1969,,,,,1045436
"NM",1970,,,,,1070960
"NM",1971,1220,1.12,210,0.19,1085624
"NM",1972,1707,1.52,580,0.52,1124058
"NM",1973,1544,1.38,440,0.39,1116246
"NM",1974,1801,1.60,566,0.50,1122858
"NM",1975,1927,1.68,597,0.52,1147856
"NM",1976,1924,1.65,702,0.60,1168856
"NM",1977,2009,1.69,766,0.64,1190856
"NM",1978,1941,1.60,801,0.66,1212856
"NM",1979,1980,1.59,942,0.76,1244079
"NM",1980,2060,1.59,1014,0.78,1297693
"NM",1981,2169,1.63,982,0.74,1328937
"NM",1982,2267,1.66,978,0.72,1362303
"NM",1983,2762,1.97,1372,0.98,1404645
"NM",1984,2786,1.94,1422,0.99,1436880
"NM",1985,2851,1.95,1581,1.08,1463117
"NM",1986,2914,1.95,1547,1.04,1492636
"NM",1987,2979,1.97,1630,1.08,1513969
"NM",1988,3107,2.03,1434,0.94,1529411
"NM",1989,3128,2.02,1495,0.97,1548271
"NM",1990,3250,2.12,1440,0.94,1536357
"NM",1991,3441,2.19,1580,1.01,1569748
"NM",1992,3442,2.15,1783,1.11,1603208
"NM",1993,3432,2.09,1511,0.92,1639020
"NM",1994,3525,2.10,1549,0.92,1676440
"NM",1995,3723,2.18,1633,0.96,1709085
"NM",1996,3826,2.20,1615,0.93,1737481
"NM",1997,3853,2.21,1624,0.93,1744476
"NM",1998,3966,2.26,1802,1.03,1751920
"NM",1999,4085,2.33,1820,1.04,1754684
"NM",2000,4197,2.29,1661,0.91,1830812
"NM",2001,4028,2.19,1561,0.85,1840977
"NM",2002,4155,2.23,1526,0.82,1866916
"NM",2003,4149,2.19,1490,0.79,1892610
"NM",2004,4222,2.20,1531,0.80,1922397
"NM",2005,4329,2.22,1634,0.84,1947879
"NM",2006,4188,2.14,1675,0.85,1960013
"NM",2007,4320,2.19,1703,0.86,1975264
"NM",2008,4376,2.20,1727,0.87,1989674
"NM",2009,4622,2.29,2219,1.10,2016615
"NM",2010,4536,2.20,1709,0.83,2062883
"NM",2011,4605,2.21,1735,0.83,2085969
"NM",2012,4584,2.19,1737,0.83,2089244
"NM",2013,4016,1.92,1847,0.88,2090974
"NM",2014,4431,2.12,1868,0.89,2091198
"NM",2015,4631,2.22,1920,0.92,2090676
"NM",2016,5101,2.31,2241,1.01,2211216
"NM",2017,3251,1.43,1404,0.62,2279176
"NM",2018,2710,1.15,1167,0.50,2349340
"NM",2019,1794,0.82,911,0.42,2182235
"NV",1960,,,,,285278
"NV",1961,,,,,285278
"NV",1962,,,,,335008
"NV",1963,,,,,368015
"NV",1964,,,,,408007
"NV",1965,,,,,393213
"NV",1966,,,,,465070
"NV",1967,,,,,448472
"NV",1968,,,,,457472
"NV",1969,,,,,461472
"NV",1970,,,,,492914
"NV",1971,1289,2.52,137,0.27,510933
"NV",1972,1515,2.85,443,0.83,531209
"NV",1973,1806,3.30,521,0.95,548000
"NV",1974,1896,3.31,538,0.94,573000
"NV",1975,1937,3.27,578,0.98,592000
"NV",1976,1948,3.19,600,0.98,610000
"NV",1977,1999,3.16,646,1.02,633000
"NV",1978,1904,2.88,868,1.32,660000
"NV",1979,2304,3.28,786,1.12,702000
"NV",1980,2073,2.59,710,0.89,800312
"NV",1981,2123,2.50,743,0.87,850170
"NV",1982,2102,2.37,816,0.92,886170
"NV",1983,2310,2.58,854,0.95,896228
"NV",1984,2371,2.59,928,1.01,916349
"NV",1985,2478,2.63,958,1.02,941497
"NV",1986,2517,2.60,1013,1.05,968281
"NV",1987,2620,2.59,1065,1.05,1011971
"NV",1988,2760,2.59,1171,1.10,1065008
"NV",1989,2935,2.63,1278,1.15,1116112
"NV",1990,3094,2.56,1370,1.14,1206589
"NV",1991,2878,2.23,1281,0.99,1289081
"NV",1992,3365,2.53,1430,1.07,1332251
"NV",1993,3364,2.41,1425,1.02,1394010
"NV",1994,3610,2.47,1545,1.06,1462255
"NV",1995,3761,2.45,1649,1.07,1534897
"NV",1996,3948,2.45,1749,1.09,1609339
"NV",1997,4132,2.45,1858,1.10,1683630
"NV",1998,3889,2.22,2701,1.54,1753364
"NV",1999,4525,2.49,2266,1.25,1814905
"NV",2000,4828,2.41,2325,1.16,2003421
"NV",2001,4518,2.14,3015,1.43,2112936
"NV",2002,4926,2.26,3406,1.56,2180572
"NV",2003,4708,2.09,3168,1.41,2247570
"NV",2004,4777,2.04,3288,1.40,2341129
"NV",2005,4985,2.06,3573,1.48,2421139
"NV",2006,5281,2.11,3819,1.53,2502102
"NV",2007,6414,2.49,3143,1.22,2571920
"NV",2008,5747,2.20,3114,1.19,2606849
"NV",2009,6003,2.27,4132,1.56,2649704
"NV",2010,5900,2.18,3993,1.47,2707228
"NV",2011,5516,2.02,3734,1.37,2730056
"NV",2012,5697,2.06,3770,1.36,2765739
"NV",2013,5378,1.92,3454,1.23,2796911
"NV",2014,5546,1.95,3480,1.22,2845845
"NV",2015,6366,2.20,2818,0.97,2897487
"NV",2016,6962,2.36,2815,0.96,2946513
"NV",2017,6818,2.27,3052,1.02,3004362
"NV",2018,6287,2.07,2840,0.93,3040690
"NV",2019,5578,1.81,2154,0.70,3086380
"NY",1960,,,,,17501185
"NY",1961,,,,,17517636
"NY",1962,,,,,18184766
"NY",1963,,,,,18527461
"NY",1964,,,,,18788802
"NY",1965,,,,,18661279
"NY",1966,,,,,18865808
"NY",1967,,,,,19261058
"NY",1968,,,,,19064417
"NY",1969,,,,,19304368
"NY",1970,,,,,19199089
"NY",1971,47564,2.45,3361,0.17,19427177
"NY",1972,52751,2.71,4222,0.22,19440508
"NY",1973,49291,2.54,6356,0.33,19373070
"NY",1974,53116,2.76,7075,0.37,19226162
"NY",1975,52541,2.72,7394,0.38,19287811
"NY",1976,46411,2.41,6175,0.32,19252864
"NY",1977,46095,2.41,7400,0.39,19121002
"NY",1978,45661,2.41,7723,0.41,18961984
"NY",1979,44531,2.36,7627,0.40,18896268
"NY",1980,47324,2.53,8028,0.43,18694648
"NY",1981,46981,2.50,9124,0.49,18809745
"NY",1982,46585,2.47,9636,0.51,18864583
"NY",1983,47570,2.52,9923,0.53,18873093
"NY",1984,52773,2.78,12802,0.68,18951381
"NY",1985,53813,2.83,11094,0.58,19028076
"NY",1986,55453,2.91,11590,0.61,19023903
"NY",1987,55975,2.89,12604,0.65,19376674
"NY",1988,55967,2.88,14962,0.77,19440858
"NY",1989,55814,2.86,15670,0.80,19493230
"NY",1990,56282,2.88,15140,0.77,19570457
"NY",1991,56659,2.88,15127,0.77,19643856
"NY",1992,58002,2.94,15491,0.79,19710145
"NY",1993,58779,2.97,15826,0.80,19791368
"NY",1994,60581,3.07,15819,0.80,19755887
"NY",1995,68863,3.49,15992,0.81,19720019
"NY",1996,68494,3.46,17558,0.89,19786862
"NY",1997,70187,3.56,17628,0.89,19730592
"NY",1998,66565,3.33,16820,0.84,19964708
"NY",1999,66664,3.33,26849,1.34,19992301
"NY",2000,67720,3.26,21394,1.03,20769343
"NY",2001,66953,3.22,23667,1.14,20795253
"NY",2002,65510,3.13,22490,1.07,20955239
"NY",2003,56786,2.70,19499,0.93,21018067
"NY",2004,64494,3.06,23557,1.12,21053780
"NY",2005,64807,3.07,23497,1.11,21085280
"NY",2006,64856,3.07,24253,1.15,21155940
"NY",2007,64628,3.06,24951,1.18,21141230
"NY",2008,65570,3.07,20369,0.95,21383787
"NY",2009,64710,3.01,22066,1.03,21490710
"NY",2010,63848,3.00,21680,1.02,21307462
"NY",2011,63064,2.95,21066,0.98,21413705
"NY",2012,62921,2.92,20666,0.96,21525230
"NY",2013,63291,2.90,20806,0.95,21842325
"NY",2014,62734,2.89,20879,0.96,21699212
"NY",2015,64014,2.94,20822,0.96,21755244
"NY",2016,65482,2.98,21162,0.96,21960112
"NY",2017,62700,2.85,21260,0.96,22034727
"NY",2018,62767,2.87,21957,1.00,21861702
"NY",2019,62878,2.89,21893,1.01,21756935
"OH",1960,,,,,9712882
"OH",1961,,,,,9422531
"OH",1962,,,,,10104365
"OH",1963,,,,,10185940
"OH",1964,,,,,10116533
"OH",1965,,,,,10518496
"OH",1966,,,,,10662192
"OH",1967,,,,,10479140
"OH",1968,,,,,10610770
"OH",1969,,,,,10771527
"OH",1970,,,,,10690511
"OH",1971,12714,1.17,1000,0.09,10865398
"OH",1972,15824,1.46,2698,0.25,10873446
"OH",1973,15178,1.40,2271,0.21,10820724
"OH",1974,15461,1.43,2500,0.23,10835151
"OH",1975,15773,1.45,2934,0.27,10857704
"OH",1976,15750,1.47,3017,0.28,10717772
"OH",1977,17503,1.63,3162,0.30,10717260
"OH",1978,14998,1.39,3127,0.29,10765260
"OH",1979,16421,1.53,3006,0.28,10746923
"OH",1980,15470,1.41,3377,0.31,11009711
"OH",1981,15398,1.40,3236,0.29,11009899
"OH",1982,17280,1.57,3852,0.35,11035040
"OH",1983,18540,1.69,4851,0.44,10971041
"OH",1984,18468,1.68,4783,0.44,10980343
"OH",1985,18808,1.72,4816,0.44,10962448
"OH",1986,18592,1.68,5405,0.49,11048280
"OH",1987,19092,1.72,5582,0.50,11081160
"OH",1988,19308,1.73,5941,0.53,11172374
"OH",1989,19061,1.70,6804,0.61,11217687
"OH",1990,19540,1.75,7211,0.65,11145651
"OH",1991,21113,1.82,7316,0.63,11607700
"OH",1992,21541,1.81,7264,0.61,11915865
"OH",1993,22018,1.84,7473,0.62,11984214
"OH",1994,22692,1.89,8160,0.68,11995990
"OH",1995,22683,1.88,9134,0.76,12083274
"OH",1996,23379,1.91,9670,0.79,12220127
"OH",1997,24320,1.98,10082,0.82,12261964
"OH",1998,23416,1.95,10610,0.88,11989827
"OH",1999,23962,1.97,10923,0.90,12171755
"OH",2000,24754,2.02,10883,0.89,12234591
"OH",2001,25469,2.01,11242,0.89,12696455
"OH",2002,25715,2.08,11280,0.91,12391925
"OH",2003,25659,2.04,11197,0.89,12608425
"OH",2004,25820,2.00,11388,0.88,12924208
"OH",2005,25780,1.99,11049,0.85,12968762
"OH",2006,26430,2.04,10734,0.83,12950288
"OH",2007,26248,2.10,11439,0.92,12472220
"OH",2008,27239,2.15,11321,0.89,12679594
"OH",2009,25938,2.10,10639,0.86,12366052
"OH",2010,25560,2.03,10054,0.80,12613014
"OH",2011,25213,2.00,10128,0.80,12637037
"OH",2012,24901,1.94,9957,0.78,12805983
"OH",2013,24708,1.96,9767,0.77,12633449
"OH",2014,24429,1.97,9884,0.80,12431254
"OH",2015,25934,2.03,10030,0.79,12763689
"OH",2016,23798,1.96,9449,0.78,12128220
"OH",2017,13488,1.15,4498,0.38,11773974
"OH",2018,15079,1.27,4930,0.42,11866671
"OH",2019,12890,1.02,4484,0.36,12578439
"OK",1960,,,,,2346856
"OK",1961,,,,,2352624
"OK",1962,,,,,2476753
"OK",1963,,,,,2541376
"OK",1964,,,,,2509944
"OK",1965,,,,,2519225
"OK",1966,,,,,2576970
"OK",1967,,,,,2549867
"OK",1968,,,,,2288729
"OK",1969,,,,,2630235
"OK",1970,,,,,2612879
"OK",1971,2682,1.01,193,0.07,2668490
"OK",1972,3737,1.39,533,0.20,2691025
"OK",1973,3608,1.34,499,0.19,2684958
"OK",1974,3860,1.42,642,0.24,2716975
"OK",1975,4060,1.48,785,0.29,2735427
"OK",1976,4223,1.52,786,0.28,2785453
"OK",1977,4414,1.56,992,0.35,2836451
"OK",1978,4556,1.57,1057,0.36,2901509
"OK",1979,4680,1.61,1154,0.40,2911745
"OK",1980,4697,1.55,1227,0.41,3023007
"OK",1981,4810,1.54,1272,0.41,3125799
"OK",1982,5055,1.58,1347,0.42,3204221
"OK",1983,5781,1.74,1971,0.59,3327862
"OK",1984,6026,1.80,1871,0.56,3343462
"OK",1985,5921,1.77,2179,0.65,3344902
"OK",1986,5855,1.75,2146,0.64,3347384
"OK",1987,5751,1.73,2315,0.70,3319416
"OK",1988,5782,1.75,2181,0.66,3312954
"OK",1989,5870,1.80,2519,0.77,3268862
"OK",1990,5988,1.88,2658,0.83,3190024
"OK",1991,6869,2.13,2884,0.90,3218783
"OK",1992,6308,1.94,2997,0.92,3256265
"OK",1993,6245,1.91,2883,0.88,3276795
"OK",1994,6357,1.92,2882,0.87,3304148
"OK",1995,6674,2.00,3297,0.99,3329864
"OK",1996,6707,2.00,3104,0.93,3349145
"OK",1997,6804,2.02,3234,0.96,3365347
"OK",1998,6921,2.04,3331,0.98,3393885
"OK",1999,6935,2.04,3350,0.98,3405170
"OK",2000,7069,2.02,3432,0.98,3498712
"OK",2001,7204,2.05,3504,1.00,3512705
"OK",2002,7231,2.04,3499,0.99,3544795
"OK",2003,7192,2.02,3456,0.97,3566501
"OK",2004,7132,1.99,3479,0.97,3579422
"OK",2005,7132,1.98,4000,1.11,3607913
"OK",2006,7208,1.98,3978,1.09,3644477
"OK",2007,7435,2.02,4018,1.09,3683300
"OK",2008,8025,2.12,3965,1.05,3781866
"OK",2009,8176,2.16,4136,1.09,3788161
"OK",2010,7998,2.05,4123,1.06,3900556
"OK",2011,8652,1.99,4722,1.09,4339568
"OK",2012,8605,2.04,4856,1.15,4208024
"OK",2013,8124,2.01,4493,1.11,4034927
"OK",2014,8142,2.04,4437,1.11,3981734
"OK",2015,8580,2.11,4583,1.13,4068299
"OK",2016,9083,2.21,4512,1.10,4113120
"OK",2017,8886,2.23,4168,1.04,3989297
"OK",2018,8958,2.24,4151,1.04,3999218
"OK",2019,9339,2.33,4585,1.14,4008410
"OR",1960,,,,,1764906
"OR",1961,,,,,1764906
"OR",1962,,,,,1860204
"OR",1963,,,,,1823151
"OR",1964,,,,,1868114
"OR",1965,,,,,1907050
"OR",1966,,,,,1957054
"OR",1967,,,,,2002340
"OR",1968,,,,,1820819
"OR",1969,,,,,2036124
"OR",1970,,,,,2097209
"OR",1971,2689,1.24,411,0.19,2163825
"OR",1972,3805,1.74,857,0.39,2187990
"OR",1973,3130,1.40,861,0.39,2231245
"OR",1974,3339,1.47,797,0.35,2269335
"OR",1975,3632,1.58,925,0.40,2293167
"OR",1976,3708,1.59,798,0.34,2335197
"OR",1977,3539,1.48,1328,0.56,2385274
"OR",1978,3517,1.44,1222,0.50,2449948
"OR",1979,3555,1.40,1239,0.49,2533278
"OR",1980,3534,1.35,1225,0.47,2616164
"OR",1981,3627,1.37,1205,0.45,2652767
"OR",1982,3579,1.35,1199,0.45,2655904
"OR",1983,4275,1.60,1288,0.48,2668934
"OR",1984,4282,1.60,1311,0.49,2680631
"OR",1985,4257,1.57,1331,0.49,2705468
"OR",1986,4259,1.57,1383,0.51,2716601
"OR",1987,4311,1.57,1372,0.50,2743106
"OR",1988,4439,1.61,1476,0.53,2760232
"OR",1989,4615,1.63,1409,0.50,2839984
"OR",1990,4724,1.65,1522,0.53,2864558
"OR",1991,4792,1.59,1511,0.50,3013348
"OR",1992,4756,1.58,1527,0.51,3005047
"OR",1993,4852,1.59,1558,0.51,3061194
"OR",1994,5108,1.64,1593,0.51,3118829
"OR",1995,6210,1.96,2035,0.64,3174677
"OR",1996,5407,1.64,1957,0.59,3291193
"OR",1997,5466,1.64,1971,0.59,3336208
"OR",1998,5472,1.65,2126,0.64,3316702
"OR",1999,5685,1.68,2093,0.62,3388729
"OR",2000,5761,1.64,2173,0.62,3513113
"OR",2001,5913,1.61,2305,0.63,3677796
"OR",2002,6032,1.60,2196,0.58,3778086
"OR",2003,6160,1.53,2276,0.56,4036146
"OR",2004,5776,1.52,2284,0.60,3798934
"OR",2005,5965,1.53,2296,0.59,3888750
"OR",2006,5849,1.56,3284,0.88,3750459
"OR",2007,6869,1.81,4493,1.18,3797589
"OR",2008,6856,1.74,4772,1.21,3944325
"OR",2009,6916,1.78,4632,1.19,3883961
"OR",2010,7033,1.81,4506,1.16,3891978
"OR",2011,23091,5.71,9676,2.39,4043978
"OR",2012,7008,1.75,4338,1.08,4002164
"OR",2013,7419,1.69,4680,1.06,4394862
"OR",2014,8002,1.90,5185,1.23,4220492
"OR",2015,9582,1.70,5294,0.94,5644994
"OR",2016,7941,1.80,4633,1.05,4407424
"OR",2017,6783,1.59,3965,0.93,4276423
"OR",2018,6618,1.53,4158,0.96,4329612
"OR",2019,6597,1.47,4684,1.04,4488314
"OT",1960,,,,,0
"OT",1961,,,,,0
"OT",1962,,,,,0
"OT",1963,,,,,0
"OT",1964,,,,,0
"OT",1965,,,,,0
"OT",1966,,,,,0
"OT",1967,,,,,0
"OT",1968,,,,,0
"OT",1969,,,,,0
"OT",1970,,,,,0
"OT",1971,,,,,0
"OT",1972,,,,,0
"OT",1973,,,,,0
"OT",1974,,,,,0
"OT",1975,,,,,0
"OT",1976,,,,,0
"OT",1977,,,,,0
"OT",1978,,,,,0
"OT",1979,,,,,0
"OT",1980,,,,,0
"OT",1981,,,,,0
"OT",1982,,,,,0
"OT",1983,,,,,0
"OT",1984,,,,,0
"OT",1985,,,,,0
"OT",1986,,,,,0
"OT",1987,,,,,0
"OT",1988,,,,,0
"OT",1989,,,,,0
"OT",1990,,,,,0
"OT",1991,,,,,0
"OT",1992,,,,,0
"OT",1993,,,,,0
"OT",1994,,,,,0
"OT",1995,,,,,0
"OT",1996,,,,,0
"OT",1997,,,,,0
"OT",1998,,,,,0
"OT",1999,,,,,0
"OT",2000,,,,,0
"OT",2001,,,,,0
"OT",2002,,,,,0
"OT",2003,,,,,0
"OT",2004,,,,,0
"OT",2005,,,,,0
"OT",2006,,,,,0
"OT",2007,,,,,0
"OT",2008,,,,,0
"OT",2009,,,,,0
"OT",2010,,,,,0
